id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
0,2025-12-02_14-48-55_12345567_101_105_wallpad_1570459813_걸리사무소_전화번호가_어떻게_되지.mp3,관리사무소 전화번호가 어떻게 되지?,관리사무소 전화번호가 어떻게 되지,0.0,0.0,1,1,0,0,0,0,15,15,0.123,467.4,3.8,2,90.6
2,2025-12-02_14-49-03_12345567_101_105_wallpad_1570467813_뭔데_답빼줘.mp3,뭔데? 해줘.,뭔데 해 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0842,234.2,2.78,1,90.8
5,2025-12-02_14-49-37_12345567_101_105_wallpad_1570501813_오늘_경제_뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1377,466.6,3.39,2,91.4
6,2025-12-02_14-49-46_12345567_101_105_wallpad_1570510813_집에서_회사까지_몇_분_걸려.mp3,집에서 회사까지 몇분 걸려?,집에서 회사까지 몇 분 걸려,0.0,0.0,1,1,0,0,0,0,11,11,0.1285,467.6,3.64,2,89.9
8,2025-12-02_14-50-07_12345567_101_105_wallpad_1570531813_가스밸브_현재_열려_있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,0.0,0.0,1,1,0,0,0,0,10,10,0.1415,467.0,3.3,2,88.5
10,2025-12-02_14-50-32_12345567_101_105_wallpad_1570556813_문_열어줘.mp3,문 열어줘,문 열어 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0857,233.1,2.72,1,88.2
11,2025-12-02_14-50-40_12345567_101_105_wallpad_1570565813_살려줘_도와줘_비상.mp3,살려줘 도와줘 비상,살려줘 도와줘 비상,0.0,0.0,1,1,0,0,0,0,8,8,0.1283,467.1,3.64,2,92.8
13,2025-12-02_14-50-49_12345567_101_105_wallpad_1570573813_이번_달에_관리비_얼마나_썼니.mp3,이번달에 관리비 얼마나 썼니?,이번 달에 관리비 얼마나 썼니,0.0,0.0,1,1,0,0,0,0,12,12,0.1317,467.7,3.55,2,86.3
14,2025-12-02_14-50-57_12345567_101_105_wallpad_1570581813_소리가_너무_커_들려줘.mp3,소리가 너무 커 줄여줘,소리가 너무 커 줄여줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1453,467.7,3.22,2,91.4
15,2025-12-02_14-51-06_12345567_101_105_wallpad_1570590813_화면이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0822,234.2,2.85,1,86.8
22,2025-12-02_14-38-15_12345567_101_105_wallpad_1803327320_오늘_경자_뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1407,468.5,3.33,2,91.4
23,2025-12-02_14-38-44_12345567_101_105_wallpad_1803356320_근처_우리_동네_주교소_휘발리_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때,0.0,0.0,1,1,0,0,0,0,19,19,0.1057,467.0,4.42,2,82.0
