id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
8,2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.0976,234.2,2.4,1,94.7
10,2025-11-19_09-09-30_12345555_101_101_wallpad_426895813_응_말해줘.wav,응 말해줘,응 말해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0833,234.2,2.81,1,93.4
12,2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안 알려줘도 돼,안 알려줘도 돼,0.0,0.0,1,1,0,0,0,0,6,6,0.0913,233.7,2.56,1,90.8
13,2025-11-19_09-09-52_12345555_101_101_wallpad_426917813_괜찮아.wav,괜찮아,괜찮아,0.0,0.0,1,1,0,0,0,0,3,3,0.1013,233.0,2.3,1,93.4
28,2025-11-19_09-12-58_12345555_101_101_wallpad_427102813_달러_환율_알려줘.wav,달러 환율 알려줘,달러 환율 알려 줘,0.0,66.67,1,1,0,0,0,0,7,7,0.0812,233.8,2.88,1,84.2
29,2025-11-19_09-13-05_12345555_101_101_wallpad_427110813_엔비디아_주가_올랐어.wav,엔비디아 주가 올랐어?,엔비디아 주가 올랐어,0.0,33.33,1,1,0,0,0,0,9,9,0.1523,467.6,3.07,2,91.4
35,2025-11-19_09-13-58_12345555_101_101_wallpad_427162813_오후_네시에_출발하면_얼마나_걸려.wav,오후 열시에 출발하면 얼마나 걸려?,오후 열 시에 출발하면 얼마나 걸려,0.0,60.0,1,1,0,0,0,0,14,14,0.1239,467.1,3.77,2,86.3
59,2025-11-19_09-19-28_12345555_101_101_wallpad_427492813_가스밸브_닫아줘.wav,가스밸브 닫아줘,가스 밸브 닫아 줘,0.0,100.0,1,1,0,0,0,0,7,7,0.0813,233.2,2.87,1,82.9
65,2025-11-19_09-20-17_12345555_101_101_wallpad_427541813_지금_엘리베터몇_층이야.wav,지금 엘리베이터 몇층이야?,지금 엘리베이터 몇 층이야,0.0,66.67,1,1,0,0,0,0,11,11,0.1505,466.5,3.1,2,87.1
68,2025-11-19_09-20-47_12345555_101_101_wallpad_427571813_문_열어줘.wav,문 열어줘,문 열어 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0915,233.4,2.55,1,86.8
