id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
2,2025-12-02_15-03-23_12345567_101_105_wallpad_1571327813_뭔데_해줘.mp3,뭔데? 해줘.,뭔데 해줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0809,233.1,2.88,1,92.1
3,2025-12-02_15-03-48_12345567_101_105_wallpad_1571352813_세대_소독_알려줘.mp3,세대소독 알려줘,세대 소독 알려줘,0.0,100.0,1,1,0,0,0,0,7,7,0.0803,233.8,2.91,1,90.8
4,2025-12-02_15-04-17_12345567_101_105_wallpad_1571381813_근처_우리_동네_주유소_휘발유_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때,0.0,42.86,1,1,0,0,0,0,19,19,0.0935,466.5,4.99,2,82.7
5,2025-12-02_15-04-34_12345567_101_105_wallpad_1571398813_응_닫아줘.mp3,응 닫아줘,응 닫아 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0842,234.0,2.78,1,86.8
7,2025-12-02_15-03-56_12345567_101_105_wallpad_1571360813_오늘_경제_뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,100.0,1,1,0,0,0,0,9,9,0.1376,466.4,3.39,2,92.1
8,2025-12-02_15-04-05_12345567_101_105_wallpad_1571369813_집에서_회사까지_몇_분_걸려.mp3,집에서 회사까지 몇분 걸려?,집에서 회사까지 몇 분 걸려,0.0,75.0,1,1,0,0,0,0,11,11,0.1302,466.1,3.58,2,89.9
10,2025-12-02_15-04-26_12345567_101_105_wallpad_1571390813_가스밸브_현재_열려_있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,0.0,100.0,1,1,0,0,0,0,10,10,0.1374,465.7,3.39,2,88.5
11,2025-12-02_15-04-52_12345567_101_105_wallpad_1571416813_문_열어줘.mp3,문 열어줘,문 열어 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0907,233.9,2.58,1,88.2
12,2025-12-02_15-05-01_12345567_101_105_wallpad_1571425813_살려줘_도와줘_비상.mp3,살려줘 도와줘 비상,살려줘 도와줘 비상,0.0,0.0,1,1,0,0,0,0,8,8,0.1296,467.7,3.61,2,92.8
14,2025-12-02_15-05-19_12345567_101_105_wallpad_1571443813_소리가_너무_커_줄여줘.mp3,소리가 너무 커 줄여줘,소리가 너무 커 줄여 줘,0.0,50.0,1,1,0,0,0,0,9,9,0.1429,465.7,3.26,2,90.6
15,2025-12-02_15-05-27_12345567_101_105_wallpad_1571451813_화면이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0793,233.1,2.94,1,85.5
