id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
7,2025-11-19_09-09-07_12345555_101_101_wallpad_426871813_알려줘.wav,알려줘,알려 줘,0.0,0.0,1,1,0,0,0,0,3,3,0.1016,233.6,2.3,1,90.8
8,2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.0976,234.2,2.4,1,90.8
10,2025-11-19_09-09-30_12345555_101_101_wallpad_426895813_응_말해줘.wav,응 말해줘,응 말해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.083,233.3,2.81,1,92.1
11,2025-11-19_09-09-38_12345555_101_101_wallpad_426902813_아니_괜찮아.wav,아니 괜찮아,아니 괜찮아,0.0,0.0,1,1,0,0,0,0,5,5,0.0913,233.7,2.56,1,88.2
12,2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안 알려줘도 돼,안 알려줘도 돼,0.0,0.0,1,1,0,0,0,0,6,6,0.0915,234.1,2.56,1,86.8
13,2025-11-19_09-09-52_12345555_101_101_wallpad_426917813_괜찮아.wav,괜찮아,괜찮아,0.0,0.0,1,1,0,0,0,0,3,3,0.1018,234.1,2.3,1,90.8
28,2025-11-19_09-12-58_12345555_101_101_wallpad_427102813_달러_환율_알려줘.wav,달러 환율 알려줘,달러 환율 알려 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0813,234.0,2.88,1,84.2
56,2025-11-19_09-19-04_12345555_101_101_wallpad_427469813_가스밸브_잠갔나.wav,가스밸브 잠궜나?,가스 밸브 잠궜나,0.0,0.0,1,1,0,0,0,0,7,7,0.0803,233.6,2.91,1,84.2
58,2025-11-19_09-19-20_12345555_101_101_wallpad_427485813_문_닫아줘.wav,응 닫아줘,응 닫아 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0879,233.1,2.65,1,88.2
59,2025-11-19_09-19-28_12345555_101_101_wallpad_427492813_가스밸브_닫아줘.wav,가스밸브 닫아줘,가스 밸브 닫아 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0812,233.1,2.87,1,81.6
