id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
2,2025-12-02_14-49-03_12345567_101_105_wallpad_1570467813_뭔데_답빼줘.mp3,뭔데? 해줘.,뭔데 해 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.084,233.5,2.78,1,89.5
4,2025-12-02_14-49-28_12345567_101_105_wallpad_1570492813_최대_소독_알려줘.mp3,세대소독 알려줘,세대 소독 알려 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0782,234.6,3.0,1,86.8
10,2025-12-02_14-50-32_12345567_101_105_wallpad_1570556813_문_열어줘.mp3,문 열어줘,문 열어줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0859,233.6,2.72,1,85.5
15,2025-12-02_14-51-06_12345567_101_105_wallpad_1570590813_화면이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0819,233.4,2.85,1,81.6
23,2025-12-02_14-38-44_12345567_101_105_wallpad_1803356320_근처_우리_동네_주교소_휘발리_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때,0.0,0.0,1,1,0,0,0,0,19,19,0.1057,467.2,4.42,2,80.6
24,2025-12-02_14-38-25_12345567_101_105_wallpad_1803337320_집에서_회사까지_몇_분_걸려.mp3,집에서 회사까지 몇분 걸려?,집에서 회사까지 몇 분 걸려,0.0,0.0,1,1,0,0,0,0,11,11,0.1352,466.5,3.45,2,89.2
25,2025-12-02_14-38-56_12345567_101_105_wallpad_1803368320_가스밸브_현재_열려있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,0.0,0.0,1,1,0,0,0,0,10,10,0.0814,233.5,2.87,1,73.7
26,2025-12-02_14-39-03_12345567_101_105_wallpad_1803375320_응_닫아줘.mp3,응 닫아줘,응 닫아줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0977,234.4,2.4,1,88.2
28,2025-12-02_14-39-23_12345567_101_105_wallpad_1803395320_문_열어줘.mp3,문 열어줘,문 열어 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0948,233.2,2.46,1,84.2
32,2025-12-02_14-40-05_12345567_101_105_wallpad_1803437320_편하이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0839,233.3,2.78,1,81.6
35,2025-12-02_14-44-43_12345567_101_105_wallpad_1570207813_뭔데_해줘.mp3,뭔데? 해줘.,뭔데 해 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0831,233.5,2.81,1,88.2
43,2025-12-02_14-46-18_12345567_101_105_wallpad_1570302813_응_닫아줘.mp3,응 닫아줘,응닫아 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0869,233.7,2.69,1,90.8
46,2025-12-02_14-46-36_12345567_101_105_wallpad_1570320813_문_열어줘.mp3,문 열어줘,문 열어줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0871,233.4,2.68,1,86.8
48,2025-12-02_14-47-03_12345567_101_105_wallpad_1570347813_소리가_너무_커_줄여줘.mp3,소리가 너무 커 줄여줘,소리가 너무 커 줄여줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1371,468.9,3.42,2,91.4
50,2025-12-02_14-47-25_12345567_101_105_wallpad_1570369813_알림음_꺼줘.mp3,알림음 꺼줘,알림음 꺼 줘,0.0,0.0,1,1,0,0,0,0,5,5,0.084,233.5,2.78,1,88.2
0,2025-12-02_14-48-55_12345567_101_105_wallpad_1570459813_걸리사무소_전화번호가_어떻게_되지.mp3,관리사무소 전화번호가 어떻게 되지?,관리사무소 전화번호가 어떻게 되지 어,6.67,25.0,0,1,1,0,0,1,15,16,0.1231,467.6,3.8,2,85.6
