id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
1,2025-12-02_14-49-12_12345567_101_105_wallpad_1570476813_지난_공지사항_알려줘.mp3,지난 공지사항 알려줘,지난 공지사항 알려 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1432,466.8,3.26,2,90.6
2,2025-12-02_14-49-03_12345567_101_105_wallpad_1570467813_뭔데_답빼줘.mp3,뭔데? 해줘.,뭔데 해 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0839,233.4,2.78,1,90.8
4,2025-12-02_14-49-28_12345567_101_105_wallpad_1570492813_최대_소독_알려줘.mp3,세대소독 알려줘,세대소독 알려 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0778,233.3,3.0,1,86.8
10,2025-12-02_14-50-32_12345567_101_105_wallpad_1570556813_문_열어줘.mp3,문 열어줘,문 열어줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0859,233.6,2.72,1,86.8
15,2025-12-02_14-51-06_12345567_101_105_wallpad_1570590813_화면이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0822,234.3,2.85,1,81.6
22,2025-12-02_14-38-15_12345567_101_105_wallpad_1803327320_오늘_경자_뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1401,466.6,3.33,2,89.9
23,2025-12-02_14-38-44_12345567_101_105_wallpad_1803356320_근처_우리_동네_주교소_휘발리_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때,0.0,0.0,1,1,0,0,0,0,19,19,0.1057,467.2,4.42,2,79.1
25,2025-12-02_14-38-56_12345567_101_105_wallpad_1803368320_가스밸브_현재_열려있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,0.0,0.0,1,1,0,0,0,0,10,10,0.0817,234.5,2.87,1,73.7
26,2025-12-02_14-39-03_12345567_101_105_wallpad_1803375320_응_닫아줘.mp3,응 닫아줘,응 닫아줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0973,233.5,2.4,1,88.2
28,2025-12-02_14-39-23_12345567_101_105_wallpad_1803395320_문_열어줘.mp3,문 열어줘,문 열어 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.095,233.6,2.46,1,85.5
