id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
3,2025-11-19_09-08-33_12345555_101_101_wallpad_426838813_관리사호소_번호_알려줘.wav,관리사무소 번호 알려줘,관리사무소 번호 알려 줘,0.0,0.0,1,1,0,0,0,0,10,10,0.1474,467.2,3.17,2,91.4
4,2025-11-19_09-08-42_12345555_101_101_wallpad_426846813_관리소_전화번호_알려줘.wav,관리소 전화번호 알려줘,관리소 전화 번호 알려 줘,0.0,0.0,1,1,0,0,0,0,10,10,0.1492,467.0,3.13,2,91.4
5,2025-11-19_09-08-50_12345555_101_101_wallpad_426854813_관리수_전화번호_말해줘.wav,관리소 전화번호 말해줘,관리소 전화 번호 말해 줘,0.0,0.0,1,1,0,0,0,0,10,10,0.1461,467.5,3.2,2,91.4
6,2025-11-19_09-09-00_12345555_101_101_wallpad_426864813_뭔데_해줘.wav,"뭔데?, 해줘",뭔데 해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.1418,467.9,3.3,2,95.7
7,2025-11-19_09-09-07_12345555_101_101_wallpad_426871813_알려줘.wav,알려줘,알려줘,0.0,0.0,1,1,0,0,0,0,3,3,0.1018,234.1,2.3,1,96.1
8,2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.0976,234.1,2.4,1,94.7
10,2025-11-19_09-09-30_12345555_101_101_wallpad_426895813_응_말해줘.wav,응 말해줘,응 말해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0833,234.2,2.81,1,92.1
11,2025-11-19_09-09-38_12345555_101_101_wallpad_426902813_아니_괜찮아.wav,아니 괜찮아,아니 괜찮아,0.0,0.0,1,1,0,0,0,0,5,5,0.0911,233.3,2.56,1,92.1
12,2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안 알려줘도 돼,안 알려줘도 돼,0.0,0.0,1,1,0,0,0,0,6,6,0.0911,233.2,2.56,1,90.8
13,2025-11-19_09-09-52_12345555_101_101_wallpad_426917813_괜찮아.wav,괜찮아,괜찮아,0.0,0.0,1,1,0,0,0,0,3,3,0.1018,234.1,2.3,1,93.4
