id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
5,2025-12-02_13-31-47_12345567_101_105_wallpad_1799339320_오늘_덤파뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,100.0,1,1,0,0,0,0,9,9,0.0781,234.3,3.0,1,84.2
8,2025-12-02_13-36-18_12345567_101_105_wallpad_1799610320_가스밸브_현재_열려있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려있어,0.0,100.0,1,1,0,0,0,0,10,10,0.0871,233.4,2.68,1,78.9
11,2025-12-02_13-39-06_12345567_101_105_wallpad_1799778320_누문지_열어줘.mp3,문 열어줘,문 열어 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.1028,233.3,2.27,1,89.5
26,2025-12-02_14-04-49_12345567_101_105_wallpad_1801320320_응_받다줘.mp3,응 닫아줘,응 닫아줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0823,233.6,2.84,1,90.8
28,2025-12-02_14-06-17_12345567_101_105_wallpad_1801409320_문_열어_줘.mp3,문 열어줘,문 열어 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0881,234.3,2.66,1,86.8
33,2025-12-02_14-11-11_12345567_101_105_wallpad_1801703320_알내문_켜줘.mp3,알림음 켜줘,알림음 켜 줘,0.0,100.0,1,1,0,0,0,0,5,5,0.081,233.4,2.88,1,88.2
41,2025-12-02_14-21-46_12345567_101_105_wallpad_1802338320_근처_우리_동네_주유소_휘발_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평 균 가격이 어때,0.0,71.43,1,1,0,0,0,0,19,19,0.0869,466.6,5.37,2,82.0
45,2025-12-02_14-25-49_12345567_101_105_wallpad_1802581320_문_열어줘.mp3,문 열어줘,문 열어 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0914,233.1,2.55,1,85.5
7,2025-12-02_13-35-33_12345567_101_105_wallpad_1799565320_근처_우리_동네_주유소_티바유_파트_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때 음,5.26,57.14,0,1,1,0,0,1,19,20,0.1055,468.4,4.44,2,83.5
34,2025-12-02_14-12-43_12345567_101_105_wallpad_1801794320_관리사에소_전화번호가_어떻게_되지.mp3,관리사무소 전화번호가 어떻게 되지?,관리사무소 전화번호가 어떻게 되지 음,6.67,50.0,0,1,1,0,0,1,15,16,0.1249,467.0,3.74,2,89.9
10,2025-12-02_13-38-02_12345567_101_105_wallpad_1799714320_나_지금_외출해_엘리베이터_불러줘.mp3,"나 지금 외출해, 엘리베이터 불러줘",나 지금 외출해 엘리베이터 불러응,7.14,40.0,0,0,0,0,1,1,14,14,0.121,468.1,3.87,2,87.1
44,2025-12-02_14-25-08_12345567_101_105_wallpad_1802540320_나_지금_외출에_엘리베이터_불러줘.mp3,"나 지금 외출해, 엘리베이터 불러줘",나 지금 외출해 엘리베이터 불러  네,7.14,60.0,0,0,0,0,1,1,14,14,0.1208,467.6,3.87,2,85.6
13,2025-12-02_13-41-50_12345567_101_105_wallpad_1799942320_이번_달에_발일비_얼마나_썼니.mp3,이번달에 관리비 얼마나 썼니?,이번 달에 관리비 얼마나 썼니 둘,8.33,100.0,0,1,1,0,0,1,12,13,0.1274,467.5,3.67,2,87.1
23,2025-12-02_14-00-34_12345567_101_105_wallpad_1801066320_즐겨서_회사까지_몇_분_걸려.mp3,집에서 회사까지 몇분 걸려?,집에서 회사까지 몇 분 걸려 둘,9.09,100.0,0,1,1,0,0,1,11,12,0.1283,467.0,3.64,2,88.5
