id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
0,12345555_101_101_wallpad_346036813_2025-11-18_10:41:52_관리자무속_전화번호가_어떻게_되지.wav,관리사무소 전화번호가 어떻게 되지?,관리사무소 전화번호가 어떻게 되지,0.0,25.0,1,1,0,0,0,0,15,15,0.0774,233.1,2.47,1,82.9
2,12345555_101_101_wallpad_346055813_2025-11-18_10:42:10_관리사무소_전화번호_알려줘.wav,관리사무소 전화번호 알려줘,관리사무소 전화번호 알려 줘,0.0,66.67,1,1,0,0,0,0,12,12,0.0774,233.1,1.9,1,80.3
3,12345555_101_101_wallpad_346062813_2025-11-18_10:42:18_관리사무소_번호가_뭐지?.wav,관리사무소 번호가 뭐지?,관리사무소 번호가 뭐지,0.0,33.33,1,1,0,0,0,0,10,10,0.0775,233.2,1.54,1,86.8
4,12345555_101_101_wallpad_346070813_2025-11-18_10:42:25_관리사무소_번호_알려줘.wav,관리사무소 번호 알려줘,관리사무소 번호 알려줘,0.0,0.0,1,1,0,0,0,0,10,10,0.0774,233.1,1.62,1,86.8
5,12345555_101_101_wallpad_346078813_2025-11-18_10:42:33_관리소_전화번호_알려줘.wav,관리소 전화번호 알려줘,관리소 전화번호 알려줘,0.0,0.0,1,1,0,0,0,0,10,10,0.0774,232.9,2.06,1,86.8
6,12345555_101_101_wallpad_346085813_2025-11-18_10:42:41_관리소_전화번호_말해줘.wav,관리소 전화번호 말해줘,관리소 전화번호 말해 줘,0.0,66.67,1,1,0,0,0,0,10,10,0.0774,233.1,1.72,1,85.5
7,12345555_101_101_wallpad_346093813_2025-11-18_10:42:48_뭔데_해줘.wav,"뭔데?, 해줘",뭔데 해줘,0.0,50.0,1,1,0,0,0,0,4,4,0.0776,233.7,1.13,1,92.1
8,12345555_101_101_wallpad_346099813_2025-11-18_10:42:55_알려줘.wav,알려줘,알려 줘,0.0,100.0,1,1,0,0,0,0,3,3,0.0774,233.0,2.4,1,94.7
9,12345555_101_101_wallpad_346106813_2025-11-18_10:43:01_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.0777,233.9,1.45,1,94.7
10,12345555_101_101_wallpad_346112813_2025-11-18_10:43:08_뭐지_알려줘.wav,뭐지? 알려줘,뭐지 알려줘,0.0,50.0,1,1,0,0,0,0,5,5,0.0777,234.0,1.16,1,93.4
11,12345555_101_101_wallpad_346119813_2025-11-18_10:43:14_응_말해줘.wav,응 말해줘,응 말해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0774,233.1,0.96,1,92.1
12,12345555_101_101_wallpad_346125813_2025-11-18_10:43:21_아니_괜찮아.wav,아니 괜찮아,아니 괜찮아,0.0,0.0,1,1,0,0,0,0,5,5,0.0778,234.1,1.62,1,92.1
13,12345555_101_101_wallpad_346132813_2025-11-18_10:43:28_안_알려줘도_돼.wav,안 알려줘도 돼,안 알려줘도 돼,0.0,0.0,1,1,0,0,0,0,6,6,0.0774,233.1,1.18,1,89.5
14,12345555_101_101_wallpad_346139813_2025-11-18_10:43:34_괜찮아.wav,괜찮아,괜찮아,0.0,0.0,1,1,0,0,0,0,3,3,0.0774,233.1,2.18,1,92.1
