id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
5,2025-12-02_13-31-47_12345567_101_105_wallpad_1799339320_오늘_덤파뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,100.0,1,1,0,0,0,0,9,9,0.0777,234.0,3.0,1,85.5
8,2025-12-02_13-36-18_12345567_101_105_wallpad_1799610320_가스밸브_현재_열려있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려있어,0.0,100.0,1,1,0,0,0,0,10,10,0.078,234.7,2.68,1,78.9
12,2025-12-02_13-40-29_12345567_101_105_wallpad_1799861320_알려줘_종와조_비상.mp3,살려줘 도와줘 비상,살려줘 도와줘 비상,0.0,0.0,1,1,0,0,0,0,8,8,0.0778,234.2,2.65,1,86.8
13,2025-12-02_13-41-50_12345567_101_105_wallpad_1799942320_이번_달에_발일비_얼마나_썼니.mp3,이번달에 관리비 얼마나 썼니?,이번 달에 관리비 얼마나 썼니,0.0,75.0,1,1,0,0,0,0,12,12,0.085,468.3,3.67,2,87.8
15,2025-12-02_13-45-03_12345567_101_105_wallpad_1800135320_화면해도_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0776,233.5,2.5,1,86.8
19,2025-12-02_13-57-03_12345567_101_105_wallpad_1800855320_지난_공지사업_알려줘.mp3,지난 공지사항 알려줘,지난 공지사항 알려 줘,0.0,66.67,1,1,0,0,0,0,9,9,0.0848,467.4,3.2,2,92.1
22,2025-12-02_13-59-18_12345567_101_105_wallpad_1800990320_오늘_경제_뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,100.0,1,1,0,0,0,0,9,9,0.0848,467.5,3.42,2,92.1
23,2025-12-02_14-00-34_12345567_101_105_wallpad_1801066320_즐겨서_회사까지_몇_분_걸려.mp3,집에서 회사까지 몇분 걸려?,집에서 회사까지 몇 분 걸려,0.0,75.0,1,1,0,0,0,0,11,11,0.0848,467.4,3.64,2,90.6
25,2025-12-02_14-04-16_12345567_101_105_wallpad_1801288320_가스밸브_현재_열려_있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,0.0,100.0,1,1,0,0,0,0,10,10,0.0848,467.3,3.58,2,88.5
26,2025-12-02_14-04-49_12345567_101_105_wallpad_1801320320_응_받다줘.mp3,응 닫아줘,응 닫아줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0774,233.1,2.84,1,93.4
28,2025-12-02_14-06-17_12345567_101_105_wallpad_1801409320_문_열어_줘.mp3,문 열어줘,문 열어 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0775,233.2,2.66,1,86.8
32,2025-12-02_14-10-08_12345567_101_105_wallpad_1801640320_화면이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0774,233.1,3.0,1,86.8
33,2025-12-02_14-11-11_12345567_101_105_wallpad_1801703320_알내문_켜줘.mp3,알림음 켜줘,알림음 켜 줘,0.0,100.0,1,1,0,0,0,0,5,5,0.0774,233.1,2.88,1,88.2
34,2025-12-02_14-12-43_12345567_101_105_wallpad_1801794320_관리사에소_전화번호가_어떻게_되지.mp3,관리사무소 전화번호가 어떻게 되지?,관리사무소 전화번호가 어떻게 되지,0.0,25.0,1,1,0,0,0,0,15,15,0.085,468.2,3.74,2,90.6
35,2025-12-02_14-13-45_12345567_101_105_wallpad_1801857320_뭔데_해줘.mp3,뭔데? 해줘.,뭔데 해줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0775,233.3,2.75,1,92.1
41,2025-12-02_14-21-46_12345567_101_105_wallpad_1802338320_근처_우리_동네_주유소_휘발_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때,0.0,42.86,1,1,0,0,0,0,19,19,0.0847,466.7,5.37,2,82.0
45,2025-12-02_14-25-49_12345567_101_105_wallpad_1802581320_문_열어줘.mp3,문 열어줘,문 열어 줘,0.0,100.0,1,1,0,0,0,0,4,4,0.0775,233.2,2.55,1,88.2
49,2025-12-02_14-31-04_12345567_101_105_wallpad_1802896320_화면이_너무_밝다.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0775,233.4,2.85,1,88.2
50,2025-12-02_14-32-19_12345567_101_105_wallpad_1802971320_알림음_켜줘.mp3,알림음 켜줘,알림음 켜 줘,0.0,100.0,1,1,0,0,0,0,5,5,0.0778,234.2,2.78,1,89.5
10,2025-12-02_13-38-02_12345567_101_105_wallpad_1799714320_나_지금_외출해_엘리베이터_불러줘.mp3,"나 지금 외출해, 엘리베이터 불러줘",나 지금 외출해 엘리베이터 불러,7.14,40.0,0,0,0,1,0,1,14,13,0.085,468.3,3.87,2,87.8
44,2025-12-02_14-25-08_12345567_101_105_wallpad_1802540320_나_지금_외출에_엘리베이터_불러줘.mp3,"나 지금 외출해, 엘리베이터 불러줘",나 지금 외출해 엘리베이터 불러  네,7.14,60.0,0,0,0,0,1,1,14,14,0.0846,466.4,3.87,2,85.6
40,2025-12-02_14-18-49_12345567_101_105_wallpad_1802161320_집에서_회사까지_몇_분_걸려.mp3,집에서 회사까지 몇분 걸려?,집에서 회사까지 몇 분 걸려 네,9.09,100.0,0,1,1,0,0,1,11,12,0.0849,467.7,3.42,2,89.9
7,2025-12-02_13-35-33_12345567_101_105_wallpad_1799565320_근처_우리_동네_주유소_티바유_파트_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,그쵸 우리 동네 주유소 휘발유 평균 가격이 어때,10.53,57.14,0,0,0,0,2,2,19,19,0.0847,466.7,4.44,2,84.2
