id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
1,2025-11-19_09-08-16_12345555_101_101_wallpad_426820813_관리사무서_전화번호_알려줘.wav,관리사무소 전화번호 알려줘,관리사무소 전화번호 알려 줘,0.0,66.67,1,1,0,0,0,0,12,12,0.1405,466.6,3.32,2,89.2
3,2025-11-19_09-08-33_12345555_101_101_wallpad_426838813_관리사호소_번호_알려줘.wav,관리사무소 번호 알려줘,관리사무소 번호 알려 줘,0.0,66.67,1,1,0,0,0,0,10,10,0.1474,467.1,3.17,2,91.4
4,2025-11-19_09-08-42_12345555_101_101_wallpad_426846813_관리소_전화번호_알려줘.wav,관리소 전화번호 알려줘,관리소 전화번호 알려 줘,0.0,66.67,1,1,0,0,0,0,10,10,0.1494,467.7,3.13,2,92.1
5,2025-11-19_09-08-50_12345555_101_101_wallpad_426854813_관리수_전화번호_말해줘.wav,관리소 전화번호 말해줘,관리소 전화번호 말해 줘,0.0,66.67,1,1,0,0,0,0,10,10,0.1459,467.0,3.2,2,92.1
6,2025-11-19_09-09-00_12345555_101_101_wallpad_426864813_뭔데_해줘.wav,"뭔데?, 해줘",뭔데 해줘,0.0,50.0,1,1,0,0,0,0,4,4,0.142,468.7,3.3,2,95.7
7,2025-11-19_09-09-07_12345555_101_101_wallpad_426871813_알려줘.wav,알려줘,알려줘,0.0,0.0,1,1,0,0,0,0,3,3,0.1016,233.6,2.3,1,96.1
8,2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.0973,233.5,2.4,1,94.7
9,2025-11-19_09-09-22_12345555_101_101_wallpad_426887813_뭐지_알려줘.wav,뭐지? 알려줘,뭐지 알려줘,0.0,50.0,1,1,0,0,0,0,5,5,0.1417,467.6,3.3,2,96.4
10,2025-11-19_09-09-30_12345555_101_101_wallpad_426895813_응_말해줘.wav,응 말해줘,응 말해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.083,233.2,2.81,1,92.1
11,2025-11-19_09-09-38_12345555_101_101_wallpad_426902813_아니_괜찮아.wav,아니 괜찮아,아니 괜찮아,0.0,0.0,1,1,0,0,0,0,5,5,0.0911,233.2,2.56,1,92.1
