id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
0,2025-11-19_09-08-06_12345555_101_101_wallpad_426811813_알리사무서_전화번호_뭐야.wav,관리사무소 전화번호 뭐야?,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,13,0,11,24,11,24,0.0,0.0,3.13,2,83.5
1,2025-11-19_09-08-16_12345555_101_101_wallpad_426820813_관리사무서_전화번호_알려줘.wav,관리사무소 전화번호 알려줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,12,0,11,23,12,24,0.0,0.0,3.32,2,83.5
2,2025-11-19_09-08-25_12345555_101_101_wallpad_426830813_더이상무사_번호가_뭐지.wav,관리사무소 번호가 뭐지?,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,14,0,10,24,10,24,0.0,0.0,3.1,2,83.5
3,2025-11-19_09-08-33_12345555_101_101_wallpad_426838813_관리사호소_번호_알려줘.wav,관리사무소 번호 알려줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,14,0,9,23,10,24,0.0,0.0,3.17,2,83.5
4,2025-11-19_09-08-42_12345555_101_101_wallpad_426846813_관리소_전화번호_알려줘.wav,관리소 전화번호 알려줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,14,0,9,23,10,24,0.0,0.0,3.13,2,83.5
5,2025-11-19_09-08-50_12345555_101_101_wallpad_426854813_관리수_전화번호_말해줘.wav,관리소 전화번호 말해줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,14,0,10,24,10,24,0.0,0.0,3.2,2,83.5
6,2025-11-19_09-09-00_12345555_101_101_wallpad_426864813_뭔데_해줘.wav,"뭔데?, 해줘",저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,20,0,4,24,4,24,0.0,0.0,3.3,2,83.5
7,2025-11-19_09-09-07_12345555_101_101_wallpad_426871813_알려줘.wav,알려줘,저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,10,0,2,12,3,13,0.0,0.0,2.3,1,84.2
8,2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,11,0,2,13,2,13,0.0,0.0,2.4,1,84.2
9,2025-11-19_09-09-22_12345555_101_101_wallpad_426887813_뭐지_알려줘.wav,뭐지? 알려줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,19,0,4,23,5,24,0.0,0.0,3.3,2,83.5
