id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
0,2025-12-02_15-03-15_12345567_101_105_wallpad_1571319813_관리사무소_전화번호가_어떻게_되지.mp3,관리사무소 전화번호가 어떻게 되지?,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,9,0,15,24,15,24,0.0,0.0,3.93,2,83.5
1,2025-12-02_15-03-32_12345567_101_105_wallpad_1571336813_지난_공지사항_알려줘.mp3,지난 공지사항 알려줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,15,0,8,23,9,24,0.0,0.0,3.26,2,83.5
2,2025-12-02_15-03-23_12345567_101_105_wallpad_1571327813_뭔데_해줘.mp3,뭔데? 해줘.,저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,9,0,4,13,4,13,0.0,0.0,2.88,1,84.2
3,2025-12-02_15-03-48_12345567_101_105_wallpad_1571352813_세대_소독_알려줘.mp3,세대소독 알려줘,저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,6,0,6,12,7,13,0.0,0.0,2.91,1,84.2
4,2025-12-02_15-04-17_12345567_101_105_wallpad_1571381813_근처_우리_동네_주유소_휘발유_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,5,0,19,24,19,24,0.0,0.0,4.99,2,83.5
5,2025-12-02_15-04-34_12345567_101_105_wallpad_1571398813_응_닫아줘.mp3,응 닫아줘,저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,9,0,4,13,4,13,0.0,0.0,2.78,1,84.2
6,2025-12-02_15-03-40_12345567_101_105_wallpad_1571344813_칠월_오일_공제_알려줘.mp3,칠월오일 공지 알려줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,15,0,8,23,9,24,0.0,0.0,3.35,2,83.5
7,2025-12-02_15-03-56_12345567_101_105_wallpad_1571360813_오늘_경제_뉴스_알려줘.mp3,오늘 경제뉴스 알려줘,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,15,0,8,23,9,24,0.0,0.0,3.39,2,83.5
8,2025-12-02_15-04-05_12345567_101_105_wallpad_1571369813_집에서_회사까지_몇_분_걸려.mp3,집에서 회사까지 몇분 걸려?,저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,13,0,8,21,11,24,0.0,0.0,3.58,2,83.5
9,2025-12-02_15-04-43_12345567_101_105_wallpad_1571407813_나_지금_외출해_엘리베이터_불러줘.mp3,"나 지금 외출해, 엘리베이터 불러줘",저는 독립을 하려고 집에서 저는 독립을 하려고 집에서 이제,100.0,100.0,0,0,10,0,14,24,14,24,0.0,0.0,4.06,2,83.5
