id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
1,2025-12-02_14-49-12_12345567_101_105_wallpad_1570476813_지난_공지사항_알려줘.mp3,지난 공지사항 알려줘,지난 공지사항 알려 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1436,468.2,3.26,2,90.6
2,2025-12-02_14-49-03_12345567_101_105_wallpad_1570467813_뭔데_답빼줘.mp3,뭔데? 해줘.,뭔데 해 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0843,234.5,2.78,1,89.5
4,2025-12-02_14-49-28_12345567_101_105_wallpad_1570492813_최대_소독_알려줘.mp3,세대소독 알려줘,세대소독 알려 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0779,233.7,3.0,1,86.8
10,2025-12-02_14-50-32_12345567_101_105_wallpad_1570556813_문_열어줘.mp3,문 열어줘,문 열어줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0859,233.7,2.72,1,84.2
14,2025-12-02_14-50-57_12345567_101_105_wallpad_1570581813_소리가_너무_커_들려줘.mp3,소리가 너무 커 줄여줘,소리가 너무 커 줄여 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1455,468.4,3.22,2,90.6
15,2025-12-02_14-51-06_12345567_101_105_wallpad_1570590813_화면이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0821,233.9,2.85,1,81.6
16,2025-12-02_14-51-13_12345567_101_105_wallpad_1570597813_알림음_꺼줘.mp3,알림음 꺼줘,알림음 꺼 줘,0.0,0.0,1,1,0,0,0,0,5,5,0.0871,234.2,2.69,1,86.8
23,2025-12-02_14-38-44_12345567_101_105_wallpad_1803356320_근처_우리_동네_주교소_휘발리_평균_가격이_어때.mp3,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때,0.0,0.0,1,1,0,0,0,0,19,19,0.106,468.4,4.42,2,80.6
25,2025-12-02_14-38-56_12345567_101_105_wallpad_1803368320_가스밸브_현재_열려있어.mp3,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,0.0,0.0,1,1,0,0,0,0,10,10,0.0815,233.8,2.87,1,75.0
26,2025-12-02_14-39-03_12345567_101_105_wallpad_1803375320_응_닫아줘.mp3,응 닫아줘,응 닫아줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0978,234.6,2.4,1,89.5
28,2025-12-02_14-39-23_12345567_101_105_wallpad_1803395320_문_열어줘.mp3,문 열어줘,문 열어 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.095,233.8,2.46,1,82.9
31,2025-12-02_14-39-57_12345567_101_105_wallpad_1803429320_소리가_너무_커_줄여줘.mp3,소리가 너무 커 줄여줘,소리가 너무 커 줄여 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1448,467.8,3.23,2,89.2
32,2025-12-02_14-40-05_12345567_101_105_wallpad_1803437320_편하이_너무_밝아.mp3,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0841,233.8,2.78,1,81.6
35,2025-12-02_14-44-43_12345567_101_105_wallpad_1570207813_뭔데_해줘.mp3,뭔데? 해줘.,뭔데 해 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0834,234.5,2.81,1,89.5
37,2025-12-02_14-45-00_12345567_101_105_wallpad_1570224813_칠월_오일_공지_알려줘.mp3,칠월오일 공지 알려줘,칠 월 오 일  공지 알려 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1392,467.6,3.36,2,86.3
